"timeslice","hour"
"WDD69",2016-05-24 20:00:00
"WDD70",2016-05-24 21:00:00
"WDD71",2016-05-24 22:00:00
"WDD72",2016-05-24 23:00:00
"WDD73",2016-05-25
"WDD74",2016-05-25 01:00:00
"WDD75",2016-05-25 02:00:00
"WDD76",2016-05-25 03:00:00
"WDD77",2016-05-25 04:00:00
"WDD78",2016-05-25 05:00:00
"WDD79",2016-05-25 06:00:00
"WDD80",2016-05-25 07:00:00
"WDD81",2016-05-25 08:00:00
"WDD82",2016-05-25 09:00:00
"WDD83",2016-05-25 10:00:00
"WDD84",2016-05-25 11:00:00
"WDD85",2016-05-25 12:00:00
"WDD86",2016-05-25 13:00:00
"WDD87",2016-05-25 14:00:00
"WDD88",2016-05-25 15:00:00
"WDD89",2016-05-25 16:00:00
"WDD90",2016-05-25 17:00:00
"WDD91",2016-05-25 18:00:00
"WDD92",2016-05-25 19:00:00
"WDD93",2016-05-25 20:00:00
"WDD94",2016-05-25 21:00:00
"WDD95",2016-05-25 22:00:00
"WDD96",2016-05-25 23:00:00
"WDD97",2016-05-26
"WDD98",2016-05-26 01:00:00
"WDD99",2016-05-26 02:00:00
"WDD100",2016-05-26 03:00:00
"WDD101",2016-05-26 04:00:00
"WDD102",2016-05-26 05:00:00
"WDD103",2016-05-26 06:00:00
"WDD104",2016-05-26 07:00:00
"WDD105",2016-05-26 08:00:00
"WDD106",2016-05-26 09:00:00
"WDD107",2016-05-26 10:00:00
"WDD108",2016-05-26 11:00:00
"WDD109",2016-05-26 12:00:00
"WDD110",2016-05-26 13:00:00
"WDD111",2016-05-26 14:00:00
"WDD112",2016-05-26 15:00:00
"WDD113",2016-05-26 16:00:00
"WDD114",2016-05-26 17:00:00
"WDD115",2016-05-26 18:00:00
"WDD116",2016-05-26 19:00:00
"WDD117",2016-05-26 20:00:00
"WDD118",2016-05-26 21:00:00
"WDD119",2016-05-26 22:00:00
"WDD120",2016-05-26 23:00:00
"WED1",2016-05-27
"WED2",2016-05-27 01:00:00
"WED3",2016-05-27 02:00:00
"WED4",2016-05-27 03:00:00
"WED5",2016-05-27 04:00:00
"WED6",2016-05-27 05:00:00
"WED7",2016-05-27 06:00:00
"WED8",2016-05-27 07:00:00
"WED9",2016-05-27 08:00:00
"WED10",2016-05-27 09:00:00
"WED11",2016-05-27 10:00:00
"WED12",2016-05-27 11:00:00
"WED13",2016-05-27 12:00:00
"WED14",2016-05-27 13:00:00
"WED15",2016-05-27 14:00:00
"WED16",2016-05-27 15:00:00
"WED17",2016-05-27 16:00:00
"WED18",2016-05-27 17:00:00
"WED19",2016-05-27 18:00:00
"WED20",2016-05-27 19:00:00
"WED21",2016-05-27 20:00:00
"WED22",2016-05-27 21:00:00
"WED23",2016-05-27 22:00:00
"WED24",2016-05-27 23:00:00
"WED25",2016-05-28
"WED26",2016-05-28 01:00:00
"WED27",2016-05-28 02:00:00
"WED28",2016-05-28 03:00:00
"WED29",2016-05-28 04:00:00
"WED30",2016-05-28 05:00:00
"WED31",2016-05-28 06:00:00
"WED32",2016-05-28 07:00:00
"WED33",2016-05-28 08:00:00
"WED34",2016-05-28 09:00:00
"WED35",2016-05-28 10:00:00
"WED36",2016-05-28 11:00:00
"WED37",2016-05-28 12:00:00
"WED38",2016-05-28 13:00:00
"WED39",2016-05-28 14:00:00
"WED40",2016-05-28 15:00:00
"WED41",2016-05-28 16:00:00
"WED42",2016-05-28 17:00:00
"WED43",2016-05-28 18:00:00
"WED44",2016-05-28 19:00:00
"WED45",2016-05-28 20:00:00
"WED46",2016-05-28 21:00:00
"WED47",2016-05-28 22:00:00
"WED48",2016-05-28 23:00:00
"WEE1",2016-05-29
"WEE2",2016-05-29 01:00:00
"WEE3",2016-05-29 02:00:00
"WEE4",2016-05-29 03:00:00
"WEE5",2016-05-29 04:00:00
"WEE6",2016-05-29 05:00:00
"WEE7",2016-05-29 06:00:00
"WEE8",2016-05-29 07:00:00
"WEE9",2016-05-29 08:00:00
"WEE10",2016-05-29 09:00:00
"WEE11",2016-05-29 10:00:00
"WEE12",2016-05-29 11:00:00
"WEE13",2016-05-29 12:00:00
"WEE14",2016-05-29 13:00:00
"WEE15",2016-05-29 14:00:00
"WEE16",2016-05-29 15:00:00
"WEE17",2016-05-29 16:00:00
"WEE18",2016-05-29 17:00:00
"WEE19",2016-05-29 18:00:00
"WEE20",2016-05-29 19:00:00
"WEE21",2016-05-29 20:00:00
"WEE22",2016-05-29 21:00:00
"WEE23",2016-05-29 22:00:00
"WEE24",2016-05-29 23:00:00
"WEE25",2016-05-30
"WEE26",2016-05-30 01:00:00
"WEE27",2016-05-30 02:00:00
"WEE28",2016-05-30 03:00:00
"WEE29",2016-05-30 04:00:00
"WEE30",2016-05-30 05:00:00
"WEE31",2016-05-30 06:00:00
"WEE32",2016-05-30 07:00:00
"WEE33",2016-05-30 08:00:00
"WEE34",2016-05-30 09:00:00
"WEE35",2016-05-30 10:00:00
"WEE36",2016-05-30 11:00:00
"WEE37",2016-05-30 12:00:00
"WEE38",2016-05-30 13:00:00
"WEE39",2016-05-30 14:00:00
"WEE40",2016-05-30 15:00:00
"WEE41",2016-05-30 16:00:00
"WEE42",2016-05-30 17:00:00
"WEE43",2016-05-30 18:00:00
"WEE44",2016-05-30 19:00:00
"WEE45",2016-05-30 20:00:00
"WEE46",2016-05-30 21:00:00
"WEE47",2016-05-30 22:00:00
"WEE48",2016-05-30 23:00:00
"WDE1",2016-05-31
